u	du_dxi1	du_dxi2	d2u_dxi1xi2	du_dxi3	d2u_dxi2dxi3	d2u_dxi1dxi3	d3u_dxi	Coord	Node	Element
-4.148651	-0.353026	1.089595	0.393083	0.383425	0.096103	0.049917	0.148490	3	8	7
-2.592371	-0.101885	0.427250	0.186310	0.491692	-0.079192	-0.056086	0.216566	1	1	8
-2.592371	-0.101885	0.427250	0.186310	0.491692	-0.079192	-0.056086	0.216566	2	1	8
-2.592371	-0.101885	0.427250	0.186310	0.491692	-0.079192	-0.056086	0.216566	3	1	8
-2.752848	-0.270993	0.623384	0.145793	0.439509	-0.046697	0.004928	0.069191	1	2	8
-2.752848	-0.270993	0.623384	0.145793	0.439509	-0.046697	0.004928	0.069191	2	2	8
-2.752848	-0.270993	0.623384	0.145793	0.439509	-0.046697	0.004928	0.069191	3	2	8
-2.415743	0.389102	-0.027025	1.199216	0.613745	0.219841	-0.095115	0.596763	1	3	8
-2.415743	0.389102	-0.027025	1.199216	0.613745	0.219841	-0.095115	0.596763	2	3	8
-2.415743	0.389102	-0.027025	1.199216	0.613745	0.219841	-0.095115	0.596763	3	3	8
-2.204540	-0.108533	0.426072	0.146072	0.442330	0.145427	0.004606	0.281436	1	4	8
-2.204540	-0.108533	0.426072	0.146072	0.442330	0.145427	0.004606	0.281436	2	4	8
-2.204540	-0.108533	0.426072	0.146072	0.442330	0.145427	0.004606	0.281436	3	4	8
-2.100680	-0.158300	0.359322	0.225363	0.491692	-0.042187	-0.056434	-0.165545	1	5	8
-2.100680	-0.158300	0.359322	0.225363	0.491692	-0.042187	-0.056434	-0.165545	2	5	8
-2.100680	-0.158300	0.359322	0.225363	0.491692	-0.042187	-0.056434	-0.165545	3	5	8
-2.313339	-0.268091	0.574553	0.143408	0.439509	-0.050731	0.001247	-0.079430	1	6	8
-2.313339	-0.268091	0.574553	0.143408	0.439509	-0.050731	0.001247	-0.079430	2	6	8
-2.313339	-0.268091	0.574553	0.143408	0.439509	-0.050731	0.001247	-0.079430	3	6	8
-1.801998	0.109466	0.271463	0.258293	0.613745	0.378552	-0.405206	-2.236623	1	7	8
-1.801998	0.109466	0.271463	0.258293	0.613745	0.378552	-0.405206	-2.236623	2	7	8
-1.801998	0.109466	0.271463	0.258293	0.613745	0.378552	-0.405206	-2.236623	3	7	8
-1.762210	-0.124641	0.541114	0.151385	0.442330	0.084972	-0.044314	-0.288509	1	8	8
-1.762210	-0.124641	0.541114	0.151385	0.442330	0.084972	-0.044314	-0.288509	2	8	8
-1.762210	-0.124641	0.541114	0.151385	0.442330	0.084972	-0.044314	-0.288509	3	8	8
-3.725146	-0.504920	0.552157	0.022588	0.491514	-0.007733	-0.024839	0.094154	1	1	9
-3.725146	-0.504920	0.552157	0.022588	0.491514	-0.007733	-0.024839	0.094154	2	1	9
-3.725146	-0.504920	0.552157	0.022588	0.491514	-0.007733	-0.024839	0.094154	3	1	9
